EventPageUpcomingFOC	Free	免费	免費					
EventPageUpcomingPeopleContributed	{people} people contributed	{people}人已下单	{people}人已下單					
								
LoginPageLogin	Log In	登入	登入					
LoginPageLoginwithemail	Log in with email address	电邮登入	電郵登入					
LoginPageLoginwithPhone	Log in with phone number	手机登入	手機登入					
LoginPageMobileNo	Mobile No.	手机号码	手機號碼					
LoginPagePassword	Your Password	您的密码	您的密碼					
LoginPageLoginButton	Let's Go	现在开始	現在開始					
LoginPageOtherOptions	Other options	其他选项	其他選項					
LoginPageForgotPassword	Forgot password	忘记密码	忘記密碼					
LoginPageSignUp	I'm new, Sign Me Up	还未成为会员？现在注册	還未成爲會員？現在注冊					
LoginPageLoginOption	Other log in options	其他登入方法	其他登入方法					
LoginPageLoginwithFacebook	Continue with Facebook	Facebook登入	Facebook登入					
LoginPageLoginwithGoogle	Continue with Google	Google登入	Google登入					
LoginPageLoginwithEmail	Continue with Email	电邮登入	電郵登入					
LoginPageCreateNewAccount	Create a new account	电邮登入	電郵登入					
LoginPageTnC	By creating an account you agree to our {tnc} and {policy}	注册新账号，表示您同意我们的使用条款及隐私保护政策	注冊新賬號，表示您同意我們的使用條款及隱私保護政策		https://emingli360.com/terms-conditions/			https://emingli360.com/language/en/pdpa/
LoginPageCreateAccountTitle	Create an account	注册新账号	注冊新賬號					
LoginPageContinuewithMobileNo	Continue with Mobile No.	透过手机	透過手機					
LoginPageContinuewithEmail	Continue with Email	透过电邮	透過電郵					
								
SignUpPageTitle	Sign Up	注册	注冊					
SignUpPageDescription	Description	全部栏目必须填写	全部欄目必須填寫					
SignUpPageFullName	FullName *	姓名	姓名					
SignUpPagePhoneNumber	Phone number *	电话号码	電話號碼					
SignUpPagePassword	Set a log in password *	设置登入密码	設置登入密碼					
SignUpPageRe_password	Re_type password	再度输入密码	再度輸入密碼					
SignUpPageTnC	By creating an account you agree to our {tnc} and {policy}	注册新账号，表示您同意我们的使用条款及隐私保护政策	注冊新賬號，表示您同意我們的使用條款及隱私保護政策		https://emingli360.com/terms-conditions/			https://emingli360.com/language/en/pdpa/
SignUpPageSignUp	Sign Up	注册	注冊					
SignUpPagePasswordLimit	Password should be at least 8 characters	密码不可超过8个字符	密碼不可超過8個字符					
								
ForgotPasswordForgotPasswordPageTitle	Forgot Password	忘记密码	忘記密碼					
ForgotPasswordVerifyDescription	First, verify that this you	首先，须要认证这是您本人	首先，須要認證這是您本人					
ForgotPasswordEmailAddress	Email address	电邮	電郵					
ForgotPasswordPhoneNumber	Phone number *	手机号码	手機號碼					
ForgotPasswordConfirm	Next	下一步	下一步					
ForgotPasswordNewPassword	New password *	全新密码	全新密碼					
ForgotPasswordNewRe_password	Re_type new password	再度输入全新密码	再度輸入全新密碼					
ForgotPasswordResetNow	Reset Now	现在重新设置	現在重新設置					
ForgotPasswordSwapMobile	Use mobile number instead	改用手机号码	改用手機號碼					
ForgotPasswordSwapEmailAddress	Use email address instead	改用电邮	改用電郵					
ForgotPasswordResetDescription	You may now reset your password	您现在可设置您的密码	您現在可設置您的密碼					
ForgotPasswordPasswordDismatch	Password didn't match. Password should be at least 8 characters	密码互不吻合,密码不可少于8个字符	密碼互不吻合,密碼不可少於8個字符					
								
SignUpOTPPageTitle	Enter the 6_digit code	请输入6位数验证码	請輸入6位數驗證碼					
SignUpOTPPageDescription	sent to {countrycode} {number}	发送至{countrycode}{number}	發送至{countrycode}{number}					
SignUpOTPPageSignUp	Next	下一步	下一步					
SignUpOTPPageResendOTP	Didn't receive it?	仍未收到？	仍未收到？					
SignUpOTPPageResendOTPsecond	Resend OTP In {time}	请在0.22秒后要求发送新的验证码	請在0.22秒后要求發送新的驗證碼					
								
SignUpActivationCodePageTitle	Enter your Activation Code	请输入您的启动码	請輸入您的啓動碼					
SignUpActivationCodePageDescription	An Activation Email had been sent to your inbox	启动码已电邮至您的电子邮箱	啓動碼已電郵至您的電子郵箱					
								
ResetSuccessfulInfoTitle	Reset Sucessful	成功设置	成功設置					
ResetSuccessfulInfoDescription	You may Login now.	您现在可登入	您現在可登入					
ResetSuccessfulInfoButtonContent	OK	好	好					
ResetUnsuccessfulInfoTitle	Reset Unsucessful	重新设置失败	重新設置失敗					
